Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:373066001; PIH:1065; PIH Malawi:1065; AMPATH:1065; CIEL:1065,Yes,Yes,Generic answer to a question.,Misc ,N/A,,
1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:373067005; PIH:1066; PIH Malawi:1066; AMPATH:1066; CIEL:1066,No,No,Generic answer to a question.,Misc ,N/A,,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:261665006; PIH:1067; AMPATH:1067; org.openmrs.module.mdrtb:UNKNOWN; CIEL:1067,Unknown,Unknown,Generic answer to a question.,Misc ,N/A,,
140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:386661006; ICD-10-WHO:R50.9; PIH:3722; PIH:5945; AMPATH:157; AMPATH:5945; 3BT:10049305; ICPC2:A03; CIEL:140238; IMO ProblemIT:27348,Fever,Fever,"An abnormal elevation of body temperature, usually as a result of a pathologic process.",Diagnosis,Coded,No; Yes; Unknown;,
143264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:49727002; ICD-10-WHO:R05; PIH:107; AMPATH:107; AMPATH:5956; 3BT:10041728; ICPC2:R05; CIEL:143264; IMO ProblemIT:41149,Cough,Cough,,Diagnosis,Coded,No; Yes; Unknown;,
125998AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10-WHO:R09.3; SNOMED CT:248595008; IMO ProblemIT:802569; CIEL:125998,Sputum finding,Sputum production,"Material coughed up from the lungs and expectorated via the mouth. It contains MUCUS, cellular debris, and microorganisms. It may also contain blood or pus.",Diagnosis,N/A,,
141600AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:267036007; ICD-10-WHO:R06.0; PIH:5960; 3BT:10028068; ICPC2:R02; CIEL:141600; IMO ProblemIT:27423,Shortness of breath,Shortness of breath,,Diagnosis,N/A,,
158843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:267102003; 3BT:10048507; ICPC2:R74; CIEL:158843; IMO ProblemIT:89743,Sore throat,Sore throat,,Diagnosis,N/A,,
165501AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:64531003; CIEL:165501; IMO ProblemIT:53932,Rhinorrhea,Rhinorrhea,,Symptom,N/A,,
139084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:25064002; ICD-10-WHO:R51; PIH:3726; PIH:620; PIH Malawi:620; AMPATH:620; AMPATH:6039; 3BT:10041859; ICPC2:N01; IMO ProblemIT:45536; CIEL:139084,Headache,Headache,"Pain in the cranial region that may occur as an isolated and benign symptom or as a manifestation of a wide variety of conditions including SUBARACHNOID HEMORRHAGE; CRANIOCEREBRAL TRAUMA; CENTRAL NERVOUS SYSTEM INFECTIONS; INTRACRANIAL HYPERTENSION; and other disorders. In general, recurrent headaches that are not associated with a primary disease process are referred to as HEADACHE DISORDERS (e.g., MIGRAINE).",Diagnosis,N/A,,
120749AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:29857009; ICD-10-WHO:R07.4; PIH:136; AMPATH:136; AMPATH:5970; IMO ProblemIT:85191; CIEL:120749,Chest pain,Chest pain,,Diagnosis,N/A,,
121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:68962001; AMPATH:121; IMO ProblemIT:27371; CIEL:121,Myalgia,Myalgia,"Muscular pain or tenderness, especially when diffuse and nonspecific.",Finding,N/A,,
135367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:271795006; ICD-10-WHO:R53; IMO ProblemIT:49245; CIEL:135367,Malaise and fatigue,Malaise and fatigue,"The state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.",Diagnosis,N/A,,
