Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members
165648AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:165648,"COVID-19-Starter, Date of isolation",Date of isolation,Date/time patient was isolated.,Question,DateTime,,
162079AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:162079,"COVID-19-Starter, Date of test result",Date of test result,"Date/time that a test result was obtained. This is not when the test was ordered, or when the result was given to the patient.",Misc,DateTime,,
5006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:84387000; AMPATH:5006; CIEL:5006,"COVID-19-Starter, Asymptomatic",Asymptomatic,General descriptive term.  ,Misc,N/A,,
165621AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:1240581000000104; SNOMED UK:1240581000000104; CIEL:165621,"COVID-19-Starter, Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detected",Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detected,,Finding,N/A,,
,,,"COVID-19-Starter, Patient orientation completed",Patient orientation completed,,Misc,N/A,,
,,,"COVID-19-Starter, Self monitoring kit procured by patient",Self monitoring kit procured by patient,,Misc,N/A,,
,,,"COVID-19-Starter, Home isolation observations",Home isolation observations,,Question,Coded,"COVID-19-Starter, Asymptomatic; COVID-19-Starter, Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detected; COVID-19-Starter, Patient orientation completed; COVID-19-Starter, Self monitoring kit procured by patient",
,,,"COVID-19-Starter, New symptoms since last check",New symptoms since last check,,Question,Boolean,,
1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:373067005; PIH:1066; PIH Malawi:1066; AMPATH:1066; CIEL:1066,"COVID-19-Starter, No",No,Generic answer to a question.,Misc ,N/A,,
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:373066001; PIH:1065; PIH Malawi:1065; AMPATH:1065; CIEL:1065,"COVID-19-Starter, Yes",Yes,Generic answer to a question.,Misc ,N/A,,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:261665006; PIH:1067; AMPATH:1067; org.openmrs.module.mdrtb:UNKNOWN; CIEL:1067,"COVID-19-Starter, Unknown",Unknown,Generic answer to a question.,Misc ,N/A,,
140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:386661006; ICD-10-WHO:R50.9; PIH:3722; PIH:5945; AMPATH:157; AMPATH:5945; 3BT:10049305; ICPC2:A03; CIEL:140238; IMO ProblemIT:27348,"COVID-19-Starter, Fever",Fever,"An abnormal elevation of body temperature, usually as a result of a pathologic process.",Diagnosis,Coded,"COVID-19-Starter, No; COVID-19-Starter, Yes; COVID-19-Starter, Unknown",
143264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:49727002; ICD-10-WHO:R05; PIH:107; AMPATH:107; AMPATH:5956; 3BT:10041728; ICPC2:R05; CIEL:143264; IMO ProblemIT:41149,"COVID-19-Starter, Cough",Cough,,Diagnosis,Coded,"COVID-19-Starter, No; COVID-19-Starter, Yes; COVID-19-Starter, Unknown",
