Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members
1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:373067005; PIH:1066; PIH Malawi:1066; AMPATH:1066; CIEL:1066,"COVID-19-Starter, No",No,Generic answer to a question.,Misc,N/A,,
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:373066001; PIH:1065; PIH Malawi:1065; AMPATH:1065; CIEL:1065,"COVID-19-Starter, Yes",Yes,Generic answer to a question.,Misc,N/A,,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:261665006; PIH:1067; AMPATH:1067; org.openmrs.module.mdrtb:UNKNOWN; CIEL:1067,"COVID-19-Starter, Unknown",Unknown,Generic answer to a question.,Misc,N/A,,
5006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:84387000; AMPATH:5006; CIEL:5006,"COVID-19-Starter, Asymptomatic",Asymptomatic,General descriptive term.,Misc,N/A,,
1068AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:264931009; AMPATH:1068; CIEL:1068,"COVID-19-Starter, SYMPTOMATIC",Symptomatic,Generic answer to a question.,Misc,N/A,,
165621AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:1240581000000104; CIEL:165621; SNOMED UK:1240581000000104,"COVID-19-Starter, Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detected",Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detected,,Finding,N/A,,
165622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:1240591000000102; CIEL:165622; SNOMED UK:1240591000000102,"COVID-19-Starter, Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) not detected",Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) not detected,,Finding,N/A,,
703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:10828004; PIH:703; AMPATH:703; AMPATH:704; org.openmrs.module.mdrtb:POSITIVE; CIEL:703,"COVID-19-Starter, POSITIVE",POSITIVE,General finding of a positive result.,Misc,N/A,,
664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:260385009; PIH:664; AMPATH:664; AMPATH:665; org.openmrs.module.mdrtb:NEGATIVE; CIEL:664,"COVID-19-Starter, Negative",Negative,Response to a finding or test result.,Misc,N/A,,
162866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:162866,"COVID-19-Starter, Pending status",Pending status,,Misc,N/A,,
121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:68962001; AMPATH:121; CIEL:121; IMO ProblemIT:27371,"COVID-19-Starter, Myalgia",Myalgia,"Muscular pain or tenderness, especially when diffuse and nonspecific.",Finding,N/A,,
151AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:21522001; AMPATH:151; AMPATH:5106; AMPATH:5987; CIEL:151; IMO ProblemIT:84356,"COVID-19-Starter, Abdominal pain",Abdominal pain,"Pain in the abdomen, unspecified cause.",Symptom,N/A,,
120749AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:29857009; ICD-10-WHO:R07.4; PIH:136; AMPATH:136; AMPATH:5970; CIEL:120749; IMO ProblemIT:85191,"COVID-19-Starter, Chest pain",Chest pain,,Diagnosis,N/A,,
133473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:16932000; ICD-10-WHO:R11; PIH:5978; CIEL:133473; IMO ProblemIT:84351,"COVID-19-Starter, Nausea and Vomiting",Nausea and Vomiting,The forcible expulsion of the contents of the stomach through the mouth.,Diagnosis,N/A,,
139084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:25064002; ICD-10-WHO:R51; PIH:3726; PIH:620; PIH Malawi:620; AMPATH:620; AMPATH:6039; 3BT:10041859; ICPC2:N01; CIEL:139084; IMO ProblemIT:45536,"COVID-19-Starter, Headache",Headache,"Pain in the cranial region that may occur as an isolated and benign symptom or as a manifestation of a wide variety of conditions including SUBARACHNOID HEMORRHAGE; CRANIOCEREBRAL TRAUMA; CENTRAL NERVOUS SYSTEM INFECTIONS; INTRACRANIAL HYPERTENSION; and other disorders. In general, recurrent headaches that are not associated with a primary disease process are referred to as HEADACHE DISORDERS (e.g., MIGRAINE).",Diagnosis,N/A,,
140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:386661006; ICD-10-WHO:R50.9; PIH:3722; PIH:5945; AMPATH:157; AMPATH:5945; 3BT:10049305; ICPC2:A03; CIEL:140238; IMO ProblemIT:27348,"COVID-19-Starter, Fever",Fever,"An abnormal elevation of body temperature, usually as a result of a pathologic process.",Diagnosis,Coded,"No; COVID-19-Starter, Yes; COVID-19-Starter, Unknown",
